# plane	path	category	justification
DEFERRED	brain	libs/agno/agno/memory/strategies	5 inbound production imports (memory/__init__.py, memory/manager.py, os/routers/memory/memory.py). The edge dreaming consolidation wins on BEHAVIOUR; swapping it means reworking MemoryManager, not deleting a package.	KEEP (2026-09-13): re-measured 3 production importers (memory/__init__.py, memory/manager.py, os/routers/memory/memory.py) + 2 tests + 1 cookbook. Unblock: MemoryManager takes a strategy interface the edge dreaming consolidation implements; then delete.
DEFERRED	brain	libs/agno/agno/scheduler/cron.py	11 inbound production imports (scheduler/manager.py, executor.py, os/routers/schedules/router.py, tools/studio.py). The edge cron wins on SEMANTICS (DST/jitter); replacing this is a refactor of the schedule engine, not a file deletion.	KEEP (2026-09-13): re-measured 5 production importers (scheduler/__init__.py, manager.py, executor.py, os/routers/schedules/router.py, tools/studio.py) + 2 tests. Unblock: schedule engine takes a cron evaluator interface; port DST/jitter semantics from the edge; then delete.
DEFERRED	brain	libs/agno/agno/tracing/exporter.py	2 inbound production imports. The OTLP exporter wins, but DatabaseSpanExporter is still wired into the tracing bootstrap; removal follows the exporter swap.	KEEP (2026-09-13): re-measured 2 production importers (tracing/__init__.py, tracing/setup.py) + 1 test; agno.tracing itself needs opentelemetry to import. Unblock: tracing bootstrap defaults to the OTLP exporter; then delete DatabaseSpanExporter.
DEFERRED	brain	libs/agno/agno/os/middleware/trailing_slash.py	2 inbound production imports. Removable only once the gateway fully owns the edge and the REST facade stops self-mounting.	KEEP (2026-09-13): re-measured 2 production importers (os/app.py, os/middleware/__init__.py) + 1 test. Unblock: the REST facade stops self-mounting once the gateway owns routing; then delete.
DEFERRED	brain	libs/agno/agno/agent/remote.py	6 inbound production imports. ACP supersedes it as a PROTOCOL; cutting the Python proxy requires rewiring callers to ACP first.	KEEP (2026-09-13): re-measured 6 production importers (agent/__init__.py, os/interfaces/a2a/a2a.py, os/interfaces/agui/agui.py, os/mcp.py, os/routers/agents/router.py, os/schema.py) + 7 tests + 1 cookbook. Unblock: callers rewired to ACP; then delete.
DEFERRED	brain	libs/agno/agno/team/remote.py	6 inbound production imports. Same as agent/remote.py.	KEEP (2026-09-13): re-measured 6 production importers (os/interfaces/agui/agui.py, agui/router.py, os/mcp.py, os/routers/teams/router.py, os/schema.py, team/__init__.py) + 4 tests. Unblock: same as agent/remote.py.
DEFERRED	brain	libs/agno/agno/workflow/remote.py	6 inbound production imports. Same as agent/remote.py.	KEEP (2026-09-13): re-measured 4 production importers (os/mcp.py, os/routers/workflows/router.py, os/schema.py, workflow/__init__.py) + 2 tests. Unblock: same as agent/remote.py.
DEFERRED	brain	libs/agno/agno/debug.py	RETAINED AFTER REVIEW: an 18-line log-level shim, but `enable_debug_mode` is imported by many integration tests for subsystems being KEPT (e.g. db/surrealdb). Deleting it cost 6+ valuable test files as collateral. The saving is trivial; the coverage loss is not. Fold into edge logging later via a shim, do not delete.	KEEP (2026-09-13): re-measured 0 production importers, 6 test files for RETAINED subsystems import enable_debug_mode. Deleting costs those tests for an 18-line shim. Unblock: replace the 6 imports with a logging-level fixture; then delete.
DEFERRED	brain	libs/agno/agno/client/os.py	HAS A LIVE CONSUMER: agno/remote/base.py:460 lazily calls `from agno.client import AgentOSClient` inside get_os_client(). Caught by the executed test suite, NOT by static grep (the import names the package, not the deleted submodule). Verdict stands - the edge gateway-protocol should generate this client - but removal must follow rewiring agno/remote/ first.	KEEP (2026-09-13): re-measured 1 production importer (agno/client/__init__.py re-export) plus the lazy `from agno.client import AgentOSClient` in remote/base.py get_os_client() that a module-path scan cannot see. Unblock: remote/ speaks the edge gateway protocol; then delete.
DEFERRED	edge	src/system-agent/delegation-session.ts	HAS A LIVE CONSUMER: src/gateway/server-methods/system-agent-session-owner.ts:1 imports resolveSystemAgentDelegationKey from it. Folding it into a merged session-key module is a refactor, not a deletion.	KEEP (2026-09-13): re-measured 1 production importer (src/gateway/server-methods/system-agent-session-owner.ts). Edge plane; outside this pass's write scope. Unblock: fold resolveSystemAgentDelegationKey into the merged session-key module; then delete.
DEFERRED	edge	src/transcripts/summary.ts	HAS PRODUCTION CONSUMERS: store.ts, store-sqlite.ts, infra/state-migrations.meeting-transcripts-files.ts and summary-model.ts ITSELF import the shared TranscriptsSummary type and renderTranscriptsMarkdown from it. The verdict targeted the heuristic summarizeTranscripts() function, not the module; replacing that function is a refactor, not a file deletion.	KEEP (2026-09-13): re-measured 6 production importers (summary-model.ts, store.ts, store-sqlite.ts, infra/state-migrations.meeting-transcripts-files.ts, meeting-bot/transcripts-bridge.runtime.ts, agents/tools/transcripts-tool-runtime.ts). The verdict targets summarizeTranscripts(), not the module. Edge plane; outside this pass's write scope. Unblock: replace that function; then delete.
